OP: 2  
node: 5  
Multiplex: 2  
vehicle: 5  
version dump: 10 
Status: 7  
Step: 11 
Version: 2.07.00 ÿÿÿÿÿÿ
//----------
Diag: 0x742, 0x02, 0x10, 0xB0, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF
Diag: 0x742, 0x2D, 0x07, 0x00, 0x00, 0x04, 0x00, 0x00, 0x07

Diag: 0x742, 0x2E, 0x42, 0x00, 0x00, 0x08, 0x00, 0x00, 0x04

Diag: 0x742, 0x2F, 0x00, 0x00, 0x07, 0x61, 0x00, 0x00, 0x08

Diag: 0x742, 0x20, 0x00, 0x00, 0x04, 0x00, 0x00, 0x07, 0x64

Diag: 0x742, 0x21, 0x00, 0x00, 0x08, 0x00, 0x00, 0x04, 0x00

Diag: 0x742, 0x22, 0x00, 0x07, 0x62, 0x00, 0x00, 0x08, 0x00

Diag: 0x742, 0x23, 0x00, 0x04, 0x00, 0x00, 0x07, 0x44, 0x00

Diag: 0x742, 0x24, 0x00, 0x08, 0x00, 0x00, 0x04, 0x00, 0x00

Diag: 0x742, 0x25, 0x07, 0x48, 0x00, 0x00, 0x08, 0x00, 0x00

Diag: 0x742, 0x26, 0x04, 0x00, 0x00, 0x07, 0x81, 0x00, 0x00

Diag: 0x742, 0x27, 0x08, 0x00, 0x00, 0x04, 0x00, 0x00, 0x03

Diag: 0x742, 0x28, 0x61, 0x04, 0x4C, 0x05, 0x00, 0x02, 0x03

Diag: 0x742, 0x29, 0x00, 0x00, 0x03, 0xA1, 0x04, 0x4C, 0x06

Diag: 0x742, 0x2A, 0x00, 0x00, 0x03, 0x00, 0x00, 0x07, 0x21

Diag: 0x742, 0x2B, 0x00, 0x00, 0x08, 0x00, 0x00, 0x03, 0x00

Diag: 0x742, 0x2C, 0x00, 0x03, 0x64, 0x08, 0x98, 0x03, 0x00

Diag: 0x742, 0x2D, 0x02, 0x01, 0x00, 0x00, 0x03, 0xA4, 0x04

Diag: 0x742, 0x2E, 0x4C, 0x05, 0x00, 0x00, 0x01, 0x00, 0x00

Diag: 0x742, 0x2F, 0x07, 0x24, 0x00, 0x00, 0x08, 0x00, 0x00

Diag: 0x742, 0x20, 0x01, 0x00, 0x03, 0xD4, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x76, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x10, 0xE3, 0x36, 0x00, 0x03, 0x62, 0x00, 0xDC

Node: 0x702, 0x30, 0x00, 0x05, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF

Diag: 0x742, 0x21, 0x05, 0x00, 0x02, 0x00, 0x00, 0x00, 0x07

Diag: 0x742, 0x22, 0x22, 0x00, 0x00, 0x08, 0x00, 0x00, 0x00

Diag: 0x742, 0x23, 0x00, 0x00, 0x03, 0x44, 0x00, 0x6E, 0x05

Diag: 0x742, 0x24, 0x00, 0x02, 0x05, 0x00, 0x00, 0x07, 0x04

Diag: 0x742, 0x25, 0x00, 0x00, 0x08, 0x00, 0x00, 0x05, 0x00

Diag: 0x742, 0x26, 0x00, 0x03, 0x48, 0x00, 0x6E, 0x05, 0x00

Diag: 0x742, 0x27, 0x02, 0x06, 0x00, 0x00, 0x07, 0x08, 0x00

Diag: 0x742, 0x28, 0x00, 0x08, 0x00, 0x00, 0x06, 0x00, 0x00

Diag: 0x742, 0x29, 0x07, 0xC2, 0x00, 0x00, 0x08, 0x00, 0x00

Diag: 0x742, 0x2A, 0x02, 0x02, 0x90, 0x01, 0x0A, 0x91, 0x30

Diag: 0x742, 0x2B, 0x04, 0x91, 0x30, 0x03, 0x91, 0x40, 0x04

Diag: 0x742, 0x2C, 0x91, 0x40, 0x03, 0x91, 0x50, 0x04, 0x91

Diag: 0x742, 0x2D, 0x50, 0x03, 0x91, 0x80, 0x04, 0x91, 0x80

Diag: 0x742, 0x2E, 0x03, 0x91, 0x70, 0x04, 0x91, 0x70, 0x03

Diag: 0x742, 0x2F, 0x91, 0x60, 0x04, 0x91, 0x60, 0x03, 0x91

Diag: 0x742, 0x20, 0x90, 0x04, 0x91, 0x90, 0x03, 0x91, 0xA0

Diag: 0x742, 0x21, 0x04, 0x91, 0xA0, 0x03, 0x91, 0x00, 0x05

Diag: 0x742, 0x22, 0x91, 0x00, 0x02, 0x91, 0x01, 0x05, 0x91

Diag: 0x742, 0x23, 0x01, 0x02, 0x91, 0x10, 0x05, 0x91, 0x10

Diag: 0x742, 0x24, 0x02, 0x91, 0x11, 0x05, 0x91, 0x11, 0x02

Diag: 0x742, 0x25, 0x91, 0x20, 0x05, 0x91, 0x20, 0x02, 0xD0

Diag: 0x742, 0x26, 0x01, 0x0D, 0xD0, 0x0A, 0x0D, 0xD0, 0x0B

Diag: 0x742, 0x27, 0x0D, 0xD0, 0x0C, 0x0D, 0xD0, 0x0D, 0x0D

Diag: 0x742, 0x28, 0xD0, 0x0E, 0x0D, 0xD0, 0x0E, 0x0D, 0xD0

Diag: 0x742, 0x29, 0x13, 0x0D, 0xD0, 0x14, 0x0D, 0x00, 0x00

Diag: 0x742, 0x2A, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x2B, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x2C, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x2D, 0x00, 0x00, 0x01, 0x01, 0x00, 0x00, 0x00

Diag: 0x742, 0x2E, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x2F, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

Diag: 0x742, 0x20, 0x00, 0x00, 0xAD, 0xB5, 0xFF, 0xFF, 0xFF

Node: 0x702, 0x01, 0x76, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF, 0xFF
